dish_name,calories,protein,carbohydrates,fats,dietary_fiber,sugars,sodium,calcium,iron,vitamin_c,folate
Curd dressing ,78.8,5.59,8.03,2.9,0.22,7.57,204.62,194.59,0.18,5.34,39.4
Carrot raita (Gajar ka raita),64.78,4.14,7.19,2.19,1.69,5.99,274.46,146.72,0.55,7.76,32.0
Pumpkin raita (Kaddu ka raita),55.6,3.74,6.02,1.88,1.04,5.48,129.14,130.11,0.33,7.11,31.7
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.05,7.31,6.19,1.79,6.17,223.01,191.01,1.68,6.06,44.25
Spinach raita (Palak ka raita),52.75,3.95,5.06,1.86,1.39,3.97,126.57,142.96,1.61,32.9,160.65
Bathua raita,54.4,4.13,5.31,1.76,2.19,4.11,110.92,206.31,1.46,43.65,61.2
Pineapple raita (Ananas ka raita),67.74,3.9,8.62,2.02,1.39,8.12,135.48,134.53,0.27,19.89,27.72
Banana raita (Kele ka raita),89.03,4.13,13.51,2.07,1.0,10.11,135.43,133.23,0.31,5.73,27.58
Mango raita (Aam ka raita),67.37,3.9,8.23,2.14,0.89,7.87,135.46,136.06,0.34,18.19,59.64
Guava raita (Amarood ka raita),64.36,4.19,7.27,2.07,3.0,6.71,135.94,136.93,0.28,108.7,33.5
Grapes raita (Angoor ka raita),72.59,3.98,9.66,2.07,0.71,8.51,135.64,134.52,0.26,10.55,22.88
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,2.7,10.0,3.86,0.55,9.63,19.62,94.18,0.23,6.2,35.87
Pumpkin kheer (Kaddu ki kheer),86.35,2.76,10.44,3.86,0.63,10.12,20.99,95.61,0.24,8.06,26.95
Apple kheer (Seb ki kheer),81.3,2.14,11.34,3.18,0.51,10.71,15.86,75.67,0.18,5.82,16.4
Caramel custard (baked),122.7,5.11,14.95,5.01,0.0,14.92,44.78,90.59,0.53,3.02,35.21
Vanilla ice cream without egg,228.67,2.69,14.21,18.15,0.0,13.45,23.97,81.27,0.1,2.13,9.67
Vanilla ice cream with egg,214.85,4.16,11.71,17.02,0.0,11.69,37.72,77.42,0.34,2.13,21.98
Strawberry ice cream,215.61,4.15,12.26,16.96,0.0,11.6,37.62,77.08,0.34,2.13,22.0
Chocochip ice cream,241.45,4.23,16.75,17.93,0.0,16.08,34.84,73.22,0.51,2.13,24.1
Choconut ice cream,273.96,5.04,23.13,18.49,0.51,21.02,29.83,67.38,0.89,2.17,29.32
Pear chocholate sunday,183.49,2.08,15.02,13.11,0.07,14.41,16.26,56.67,0.24,3.34,12.72
Chocolate sauce,263.2,1.91,43.21,10.39,0.0,42.06,2.8,18.8,1.13,0.0,0.63
Coffee ice cream,150.62,3.15,14.09,9.43,0.0,13.35,42.09,95.72,0.15,2.16,7.18
Coffee pear alaska,203.99,2.88,19.36,13.22,0.15,16.88,51.11,60.61,0.22,3.48,13.85
Crunchy butterscotch,277.32,3.11,19.92,20.99,0.47,17.73,22.24,72.26,0.26,2.13,18.72
Peach melba ice cream,200.85,2.06,16.31,14.51,0.06,13.35,17.92,60.55,0.11,2.99,11.79
Vanilla ice cream with apples in hot cherry sauce,196.32,1.73,22.75,11.45,0.26,14.19,31.54,56.34,0.16,4.23,10.77
Grape and orange whip,57.39,1.41,6.72,2.62,0.97,5.66,14.36,17.4,0.53,34.86,16.85
Honey banana cream,125.49,2.78,13.64,6.68,0.7,10.51,15.65,43.52,0.23,16.68,28.45
Raspberry bavarian cream,150.1,3.34,17.82,7.88,2.19,15.3,24.59,26.4,0.31,21.41,20.79
Fruit delight,107.09,2.09,9.11,7.09,0.09,9.03,17.27,71.69,0.15,7.74,19.39
Creamy chocolate mousse,230.52,6.85,9.53,18.16,0.0,8.99,48.64,45.25,0.96,0.75,33.07
Cold lemon souffle,169.87,5.89,15.62,9.78,0.0,13.88,46.35,55.03,0.53,8.65,31.24
Cold orange souffle,173.19,5.94,16.27,9.82,0.11,14.42,46.53,55.45,0.57,10.08,33.8
Cold pineapple souffle,181.22,6.23,16.85,10.39,0.0,14.99,49.38,57.13,0.54,1.88,30.3
Cold vanilla souffle,179.54,6.22,16.29,10.32,0.0,14.49,49.09,62.47,0.52,1.3,30.71
Cold chocolate souffle,187.53,6.37,17.22,10.86,0.0,15.31,47.77,62.91,0.68,1.3,32.45
Stewed fruit (with pear),74.32,0.25,18.22,0.32,2.84,17.67,1.7,5.94,0.21,2.48,4.33
Apricot fool,240.79,1.54,33.64,11.35,1.0,21.29,8.28,26.37,0.73,1.47,11.46
Pavlova,200.6,1.84,21.84,12.29,0.06,20.37,26.34,23.0,0.25,23.78,19.18
Apple crumb pudding,220.85,1.54,35.17,8.87,1.33,27.69,59.36,38.49,1.05,3.6,7.86
Steamed cake with chocolate sauce,301.91,4.49,29.06,19.01,0.29,19.72,100.32,67.76,0.85,1.81,25.81
Hot lemon souffle,155.25,5.29,16.31,7.93,0.14,12.07,47.75,48.77,0.55,12.93,20.7
Gulab jamun with milk powder,471.15,0.85,28.24,40.15,0.05,27.04,67.28,26.13,0.13,0.41,4.56
Chum chum,130.05,1.52,28.27,1.92,0.02,27.84,16.65,62.58,0.13,2.69,10.2
Dil bahar,130.05,1.52,28.27,1.92,0.02,27.84,16.65,62.58,0.13,2.69,10.2
Rasbhari,130.05,1.52,28.27,1.92,0.02,27.84,16.65,62.58,0.13,2.69,10.2
Rajbogh,133.7,1.71,28.16,2.28,0.11,27.66,16.57,63.23,0.17,2.69,12.02
Rasgulla,118.64,1.38,25.79,1.75,0.01,25.4,15.19,57.09,0.12,2.69,10.2
Rasmalai,135.55,1.61,29.17,2.11,0.07,28.71,16.46,62.31,0.15,2.69,11.29
Khoa coconut burfi,411.45,9.98,36.55,26.01,4.07,35.6,31.14,309.84,2.1,0.0,26.6
Danedar burfi,102.68,3.24,12.33,4.72,0.09,11.98,23.31,107.53,0.24,3.36,9.75
Semolina burfi (Suji/Rava burfi),348.67,3.47,47.1,16.86,2.8,28.67,8.33,14.86,1.01,0.0,3.21
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,1.75,17.02,12.66,4.29,16.11,8.95,21.76,0.79,3.02,11.48
Khoa ladoo,396.02,12.21,34.43,24.09,3.08,33.37,31.71,358.61,2.25,0.02,27.31
Wheat and gram flour ladoo (Atta besan ladoo),501.7,9.38,50.5,29.86,6.01,18.46,27.06,35.27,2.39,0.0,14.55
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,5.44,48.02,25.45,4.27,19.79,3.93,18.04,1.81,0.03,4.01
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,8.5,50.49,4.66,5.54,36.48,17.93,150.73,4.8,0.0,23.64
Murmura chikki,253.82,2.12,59.59,0.32,0.37,48.27,15.03,63.3,3.3,0.0,2.16
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,2.05,6.48,57.61,1.44,1.58,99.22,11.06,0.42,1.18,14.65
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,2.22,5.55,71.01,1.34,0.27,120.9,8.58,0.47,3.84,12.67
Chicken pakora/pakoda,590.09,6.03,4.55,60.98,0.96,0.22,103.23,9.08,0.51,0.14,11.46
Fish pakora/pakoda,577.03,5.97,4.55,59.52,0.96,0.22,112.24,12.65,0.63,0.14,11.02
Paneer cutlet,672.2,4.59,7.62,69.38,0.39,2.52,91.45,107.86,0.48,1.81,38.34
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,0.56,11.23,56.97,0.54,0.1,48.17,5.43,0.38,13.39,9.09
Poshtik cutlet,496.45,2.0,7.39,50.94,1.35,0.32,57.11,14.94,0.69,16.42,43.66
Egg cutlet (Anda cutlet),575.02,2.45,5.77,60.25,0.58,0.2,79.4,16.22,0.56,11.07,22.05
Minced meat cutlet,531.86,5.1,5.61,54.47,0.4,0.31,95.81,20.82,0.63,1.81,8.86
Vegetable samosa,443.11,2.21,13.22,42.22,1.52,0.74,107.7,10.37,0.6,10.06,12.39
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,4.39,9.7,76.32,2.27,0.16,65.87,10.6,0.96,0.0,13.31
Masala urad dal vada,703.78,4.32,9.93,71.62,2.71,0.7,61.49,11.87,1.0,2.05,15.89
Khaman (dhokla),54.73,1.92,5.36,2.8,1.49,1.36,124.1,5.31,0.58,2.6,19.33
Instant dhokla,207.11,7.66,24.11,9.37,3.57,6.86,763.98,66.58,1.05,2.7,22.87
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,1.05,9.11,0.32,2.14,6.31,209.42,23.63,1.08,3.65,2.29
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,1.53,8.22,0.36,2.63,5.48,183.98,47.59,2.06,4.07,4.94
Coriander chutney (Hare dhaniye ki chutney),42.86,1.38,8.16,0.37,2.47,5.5,186.64,39.8,1.63,4.24,3.57
Gooseberry chutney (Amla chutney),43.02,1.44,8.83,0.62,4.58,0.06,215.09,46.4,1.22,4.84,2.23
Walnut chutney (Akhrot ki chutney),370.43,9.44,8.91,33.46,3.04,4.4,160.0,119.57,1.77,1.33,4.63
Saunth/Sonth chutney with ginger,84.22,0.28,20.62,0.11,0.31,19.04,222.53,15.17,0.7,0.0,0.51
Gun powder chutney,312.34,21.55,47.65,2.67,13.95,1.16,195.67,68.87,5.14,0.02,14.27
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,12.88,36.72,15.88,13.16,10.41,321.07,73.55,5.44,0.15,10.69
Curd mint dip ,76.13,4.82,9.11,2.44,0.77,7.83,222.77,172.79,0.82,3.28,7.82
Curd vegetable dip,56.21,3.88,6.04,1.94,0.63,5.42,132.48,129.58,0.37,4.53,5.78
Mayonnaise vegetable dip,241.27,3.01,4.8,23.44,0.41,4.39,119.58,91.42,0.28,4.58,7.03
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,4.03,20.51,6.31,2.1,1.79,222.22,76.75,1.15,7.12,17.26
Tomato sandwich (grilled),189.92,6.26,21.29,9.39,1.91,2.58,420.6,150.9,0.88,8.91,16.85
French sandwich (toasted),186.75,6.82,14.82,11.51,1.37,1.82,274.68,100.73,1.24,6.66,29.24
Peanut butter cucumber sandwich,243.33,9.04,29.76,10.56,3.35,2.91,460.09,95.35,1.32,0.92,16.53
Mint and peanut sandwich,273.59,7.18,31.83,13.88,3.67,2.78,453.3,114.99,1.7,1.75,15.62
Spicy chutney sandwich,249.58,8.74,34.03,9.58,3.73,3.96,315.4,154.53,1.51,0.21,23.71
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,12.58,22.62,16.77,1.53,1.77,287.39,78.45,1.12,0.0,12.99
Rolled sandwich,293.07,6.45,34.69,15.29,2.07,2.7,321.57,117.68,1.23,0.91,5.61
Ribbon sandwich,239.26,6.26,24.76,13.37,2.92,4.66,382.11,157.85,1.05,4.55,10.44
Checker board sandwich,348.37,7.37,25.94,24.65,2.22,2.9,358.25,188.02,1.11,0.05,8.52
Submarine sandwich,216.92,6.09,13.6,15.32,1.24,2.5,254.28,72.35,1.23,21.43,36.34
Cheese open sandwich,274.07,9.84,28.42,14.24,1.74,3.24,504.41,256.25,1.22,0.6,12.93
Sunset and sunrise open sandwich,241.31,8.58,18.89,15.14,1.39,1.95,381.29,114.07,1.28,3.86,26.36
Danish luncheon sandwich,193.82,9.03,17.77,10.1,1.52,1.13,365.63,77.13,1.27,2.35,25.88
Chicken and corn open sandwich,188.16,8.63,19.21,8.83,1.67,2.48,226.72,65.13,0.8,2.12,14.16
Chocolate sponge cake,239.86,9.13,39.54,5.51,0.52,25.0,61.47,33.99,1.81,0.0,19.87
Chocolate swiss roll,306.08,6.01,26.97,19.76,0.29,18.83,44.53,42.79,1.08,0.19,8.91
Lemon curd filling,225.62,3.43,26.41,12.58,0.0,26.13,34.9,16.39,0.6,0.64,3.21
Jam filling,184.62,0.0,46.15,0.0,0.0,41.54,0.0,0.0,0.0,0.0,0.0
Chocolate pastry,243.37,7.05,32.24,10.12,0.32,22.34,46.54,50.7,1.44,0.25,17.22
Assorted pastry,230.74,6.78,31.99,8.91,0.43,19.7,49.99,47.2,0.94,0.25,15.61
Orange gateau,178.05,4.78,27.01,6.02,0.68,18.33,80.41,41.69,0.89,10.49,15.12
Black forest gateau,217.82,5.94,30.57,8.58,0.28,21.97,79.37,46.79,1.09,143.5,10.98
Lemon cake,373.85,5.29,43.1,20.63,0.62,25.84,151.29,32.77,0.91,2.44,9.0
Dundee cake,396.62,7.78,41.4,22.7,1.81,21.3,182.74,58.11,1.57,0.07,9.22
Victorian sandwich cake,373.09,5.18,44.74,19.83,0.59,28.18,145.28,36.25,0.86,0.08,8.66
Chocolate eggless cake,312.01,6.66,43.45,13.19,0.32,34.2,196.61,185.38,0.95,2.67,14.7
Orange eggless cake,355.62,7.16,52.65,13.82,0.56,37.87,226.28,205.84,0.52,3.47,13.72
Chocolate glace icing,436.29,3.22,62.43,20.8,0.0,59.88,8.66,26.75,2.04,0.0,1.52
Butter icing,500.72,0.19,71.64,25.37,0.0,71.64,5.98,12.48,0.14,0.0,0.0
Chocolate butter icing,469.59,3.21,61.72,24.77,0.0,59.82,4.99,31.87,1.85,0.0,1.22
Almond biscuit (Badam ke biscuit),407.74,6.25,52.14,19.7,1.5,22.19,151.76,44.05,1.11,0.03,2.28
Orange biscuit,354.78,3.63,62.11,11.01,0.75,42.63,259.14,20.35,0.77,1.36,5.1
Gingerman biscuit,357.43,6.26,55.24,12.73,2.0,21.64,918.57,41.35,1.59,3.65,4.91
Coffee drops,443.07,7.57,43.06,27.16,1.88,18.27,88.17,57.09,1.48,0.03,2.72
Christmas biscuit,406.07,5.67,60.97,15.88,2.17,26.01,127.36,29.07,1.2,0.0,2.42
Christmas wreath biscuit,386.05,5.43,58.07,15.01,2.28,24.89,120.2,29.71,1.21,2.28,2.53
Christmas bell biscuit,404.85,5.66,60.79,15.84,2.33,25.94,127.01,32.0,1.22,0.0,2.42
Christmas star biscuit,392.03,3.54,74.54,10.04,1.47,53.05,76.09,22.75,0.96,0.01,2.69
Christmas tree biscuit,385.63,5.43,58.41,15.0,2.65,24.77,120.45,35.04,1.18,1.61,2.58
Chocolate cream shells,427.17,5.1,59.26,19.34,0.9,34.72,126.84,28.53,1.08,0.0,2.42
Jelly biscuit,404.61,4.23,55.24,19.33,2.02,29.76,110.57,36.46,1.19,0.03,1.69
Cherry and walnut cookies,422.6,5.63,59.35,18.75,1.3,30.37,114.62,46.27,1.31,0.0,2.49
Cheese straws,382.0,9.83,30.61,24.28,1.29,1.79,587.42,160.64,1.29,0.0,2.35
Butterfly biscuit,341.45,9.98,25.33,22.11,1.02,2.44,572.05,202.49,1.09,0.03,2.63
Flan pastry,445.8,6.72,47.84,25.04,1.58,6.22,193.23,21.85,1.15,0.0,7.11
Fruit flan,261.35,3.3,34.71,12.48,0.71,9.52,110.04,19.28,0.61,3.3,33.99
Orange cream flan,280.28,4.73,36.16,13.59,0.63,25.27,82.41,27.9,0.93,43.79,76.78
Fruit puree tart,286.5,3.35,30.42,16.83,1.31,9.79,49.65,19.64,0.63,2.6,6.05
Apple banana pie,243.99,3.13,32.12,11.39,1.89,12.96,384.43,21.23,0.79,8.88,31.98
Lemon chiffon pie,259.31,4.88,27.63,14.52,0.66,11.39,94.95,34.43,0.61,7.18,51.7
Orange chiffon pie,207.57,3.89,23.14,11.16,0.7,10.46,73.23,30.34,0.62,84.88,91.24
Cream buns,215.74,4.45,14.16,15.81,0.31,5.95,45.49,45.27,0.5,0.33,9.28
Savoury puffs,190.79,9.51,10.8,15.24,0.33,4.51,2274.24,68.83,1.19,1.49,15.04
Choux swans,216.34,4.35,14.92,15.6,0.35,6.13,145.08,44.67,0.51,4.27,18.67
Potato aigrettes,530.03,2.35,8.01,54.24,0.45,0.73,112.45,9.2,0.45,1.16,3.35
Cream horns,408.23,3.42,23.12,33.55,0.6,7.12,57.11,30.93,0.44,0.5,8.8
Savoury cheese horns,295.15,5.66,21.38,20.71,0.73,2.74,212.28,121.83,0.63,2.31,8.51
Paneer patties,338.58,7.6,22.79,23.96,1.18,4.04,158.44,129.9,0.79,3.3,31.26
Vegetable patties ,261.92,4.01,20.98,17.74,2.62,1.49,139.52,18.96,0.87,13.92,22.85
Pearl millet infant food (Bajra shishu aahaar),362.44,11.98,62.1,6.62,7.84,26.06,12.67,118.52,5.67,0.0,24.14
Sajina,345.26,10.81,66.87,3.03,7.62,25.89,11.7,54.4,5.39,0.0,20.4
Cereal mix ,120.81,3.32,21.84,2.02,2.03,10.68,9.29,21.4,1.18,0.62,23.98
Pulse mix,83.29,3.16,16.0,0.54,2.25,6.59,3.88,14.93,1.29,0.0,24.23
Shishu ahar,93.37,2.61,17.42,1.43,1.02,6.61,2.68,13.78,1.02,0.0,17.34
Cereal pulse mix with amylase rice flour,151.57,4.27,27.8,2.74,3.47,8.84,1.03,12.61,1.19,0.0,18.71
Banana groundnut paste/puree,213.19,4.27,36.15,5.45,1.7,31.67,16.85,74.93,1.9,3.02,20.9
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,10.8,65.04,8.33,4.51,26.54,12.33,50.46,2.76,0.0,11.87
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,3.26,23.19,1.06,1.44,13.84,9.64,44.74,1.22,0.8,21.48
Spinach khichri (Palak khichri/khichdi),102.18,3.43,17.35,1.91,1.56,0.21,69.59,10.43,0.65,3.03,28.15
Vegetable mix,174.21,4.7,36.02,0.94,1.93,27.36,34.94,90.06,2.27,8.48,36.84
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,2.71,8.36,0.94,1.28,0.92,62.79,26.28,0.52,0.6,11.32
Maize porridge,89.57,2.14,15.64,1.89,1.68,7.69,5.59,17.02,1.11,3.03,23.98
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,3.36,13.59,4.39,2.07,11.5,19.52,40.95,1.61,30.28,164.72
Split bengal gram burfi/fudge (Channa dal burfi),287.36,4.65,54.63,7.09,2.06,43.38,2.53,16.44,0.62,0.6,24.28
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,4.29,39.64,3.42,2.56,30.66,22.29,54.95,2.16,0.39,10.0
Pearl millet mathri (Bajra mathri),785.08,1.82,7.42,83.12,1.36,0.16,33.17,4.63,0.72,0.0,16.09
Sesame biscuit (Til ke biscuit),424.03,8.27,53.65,19.34,6.83,29.73,182.26,298.06,5.73,0.0,5.46
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,4.05,8.68,67.19,2.65,0.35,63.87,20.5,1.38,3.95,38.78
Poshtik namak paras,613.39,6.49,19.52,56.58,4.55,0.87,44.01,60.74,2.03,0.38,6.09
Soya chikki,423.7,7.18,62.89,15.51,3.55,45.47,17.24,81.25,4.47,0.0,36.21
Besan bathua chilla/cheela,373.82,11.48,40.65,18.57,7.79,1.45,166.36,64.75,2.68,2.05,24.35
Wheat flour and nuts ladoos (Atta nuts ladoos),391.9,9.46,44.31,19.19,7.3,15.94,8.07,127.29,4.01,0.0,13.1
Gram flour and semolina dhokla (Besan suji dhokla),198.91,8.52,25.92,7.1,4.59,2.58,196.59,66.66,1.6,6.55,76.09
Atta dal burfi ,298.8,6.66,40.64,12.47,4.08,21.08,3.56,17.07,1.56,0.0,9.07
Soya roti,283.96,9.18,40.03,9.23,8.71,1.58,155.93,53.42,3.85,4.04,35.91
Poshtik khichdi/khichri,93.37,3.04,15.64,1.88,2.0,0.26,41.67,30.41,1.0,25.77,65.43
Namkeen daliya,295.11,8.29,49.32,7.99,8.57,0.82,149.63,35.98,2.99,6.88,6.32
Sprouts upma ,316.25,9.5,44.96,10.44,7.16,1.67,147.82,36.78,2.76,0.48,26.63
Semolina idli (Suji/Rava idli),206.39,9.34,33.67,3.47,5.85,3.42,185.02,100.85,2.34,1.61,17.37
Poshtik chilla/cheela,159.53,4.85,27.47,3.04,4.91,1.22,97.18,18.18,2.1,0.58,11.79
Stuffed bittergourd (dry) (Bharwa karela),217.65,1.29,2.49,22.38,3.0,0.07,519.29,16.72,1.29,43.5,48.09
Cauliflower potato canjee,16.79,0.57,2.63,0.39,0.69,0.13,35.58,6.78,0.28,15.57,14.43
Creamed spinach,96.91,5.18,4.44,6.39,1.33,1.59,156.02,122.3,1.89,62.17,320.46
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,1.93,9.18,2.8,0.23,9.11,16.64,69.36,0.15,16.96,46.37
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.49,1.93,9.33,2.75,0.42,9.2,16.65,68.78,0.12,18.32,20.84
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.82,1.95,9.15,2.75,0.16,9.0,16.65,69.8,0.19,20.86,21.34
Woodapple juice (Bel ka sharbat),34.18,0.63,6.51,0.7,1.03,5.75,127.45,11.85,0.12,18.36,5.65
Sattu drink,23.38,0.56,5.16,0.14,0.4,3.96,12.65,1.59,0.17,0.0,25.48
Apple and honey sorbet (Seb aur shehad ka sharbat),121.3,0.15,30.74,0.29,1.13,29.18,1.97,9.11,0.18,5.08,2.68
Thandai,101.18,3.59,9.13,5.89,0.8,8.21,22.69,112.31,0.6,3.66,18.19
Cucumber sharbat (Kheere ka sharbat),27.28,0.26,6.64,0.06,0.78,5.46,2.57,6.49,0.18,9.16,25.26
Apple oats chia seed smoothie,85.64,3.49,13.07,2.48,1.44,5.76,32.02,88.89,0.5,5.39,71.4
Nannari sharbat,88.79,0.01,23.62,0.01,0.0,23.58,1.16,2.67,0.05,9.92,2.29
Semolina milk drink (Thari kanji),44.16,0.98,6.93,1.36,0.72,3.88,11.95,8.26,0.36,6.58,11.86
Saffron milk (Kesariya doodh),102.18,3.17,12.64,4.57,0.14,12.5,23.69,110.88,0.21,4.84,17.96
Black rice kheer (Chak-hao kheer),147.94,4.37,22.93,4.91,0.76,12.57,25.77,94.89,0.46,3.22,11.25
Coconut kheer (Nariyal ki kheer),162.61,3.4,14.42,10.55,1.53,13.73,45.97,89.52,0.53,12.21,49.34
Apple sago payasam (Seb aur sabudana ki kheer),136.5,3.13,14.4,7.66,0.38,10.63,39.45,102.11,0.31,5.88,21.45
Kesari bath,244.57,2.4,31.38,12.59,1.65,20.16,1.7,7.7,0.69,0.0,8.55
Putharekulu,318.3,3.66,59.61,7.55,1.75,23.86,2.67,6.11,0.38,0.0,2.44
Mango malpua,334.64,1.65,12.84,30.67,2.08,4.96,1.89,10.64,0.7,38.05,110.67
Mango vanilla custard,147.63,3.43,18.41,7.04,0.99,14.62,30.12,84.86,0.58,16.05,49.19
Kiwi granola pudding,280.99,5.6,32.33,15.36,3.71,15.08,59.21,62.2,1.45,65.34,207.15
Oats burfi,425.19,8.89,62.47,17.27,4.96,32.93,8.15,128.58,2.46,0.06,17.81
Lotus seed halwa (Kamal gattay ka halwa),370.55,7.79,39.56,20.69,0.42,9.8,3.06,82.84,1.8,0.06,179.08
Amaranth ladoo (Rajgira ladoo),454.15,10.12,51.33,22.7,5.11,19.92,7.51,144.58,6.47,0.03,9.52
Chhena poda,344.57,13.68,33.64,17.94,1.4,30.65,13.0,295.29,1.41,0.09,42.67
Sweet couscous dessert,196.2,3.81,29.69,7.69,2.18,15.89,4.22,30.94,0.84,34.1,29.16
Sweetened yogurt (Shrikhand),107.18,5.27,16.02,2.89,0.08,15.81,73.61,183.02,0.17,2.79,50.44
Thickened sweetened milk (Rabri),102.79,3.52,10.55,5.35,0.19,10.09,23.92,111.87,0.29,4.09,16.31
Gram flour halwa (Besan halwa),276.79,5.88,25.78,17.3,1.82,15.83,15.4,77.42,0.67,1.66,51.61
Prawn sandwich,169.65,10.36,11.89,9.27,1.55,1.21,213.38,75.53,1.11,12.57,50.99
Watercress sandwich,229.42,5.17,28.03,11.47,2.26,1.81,407.44,98.16,0.99,2.23,12.14
Fish sandwich ,150.2,4.72,10.09,10.37,1.23,1.04,161.88,47.28,0.69,3.89,39.29
Kidney bean sandwich with cottage cheese,176.64,9.85,18.86,6.84,3.66,3.69,97.97,166.63,1.64,5.33,213.8
Finger millet biscuit (Ragi biscuit),458.56,4.03,52.69,25.79,5.97,16.9,98.24,207.04,2.54,0.0,13.87
Buttermilk biscuit,322.54,5.76,34.93,17.5,1.18,3.44,323.74,67.16,0.77,0.0,11.23
Lemon cookies,394.48,5.63,42.19,23.02,0.78,23.47,84.71,72.04,0.69,1.5,10.76
Sweet potato biscuit (Shakarkand ke biscuit),296.4,5.14,38.13,13.31,2.27,2.53,339.58,56.34,0.81,7.95,17.7
Raspberry shortbread cookies,441.12,3.0,61.25,21.25,0.75,40.86,6.06,13.81,0.6,0.01,1.66
Pumpkin cookies ,218.4,2.51,44.69,3.93,1.06,31.62,51.49,19.36,0.52,1.26,7.8
Greenpea cookies,159.42,6.53,23.07,4.24,5.32,14.45,229.9,48.45,1.47,16.8,28.24
Sunflower cookies,520.62,9.49,40.06,36.28,3.95,24.28,181.68,70.45,2.21,0.0,51.65
Cardamom cookies (Elaichi cookies),400.49,5.1,53.99,19.12,2.79,38.99,98.45,25.21,1.41,0.0,34.95
Hazelnut cookies,493.32,6.25,39.44,34.97,2.45,22.01,81.06,47.43,1.29,0.0,19.45
Milk cookies,459.43,10.49,48.43,24.96,0.99,22.06,156.53,251.59,0.75,2.03,19.54
Cranberry cookies,272.48,3.92,36.39,12.66,1.13,19.96,58.25,36.16,0.71,5.52,17.21
Olive biscuit,438.29,3.2,55.01,23.75,0.82,32.27,120.1,10.76,1.37,0.0,2.28
Tutti fruitti biscuit,420.78,5.21,53.12,17.9,5.43,15.75,93.11,23.81,1.96,0.0,15.19
Peach blueberry preserves,177.38,0.53,45.76,0.2,1.14,45.33,2.81,9.03,0.33,16.56,16.68
Pear preserves (Naashpati ka murabba),101.24,0.25,25.67,0.19,3.06,25.19,2.1,6.57,0.23,15.65,21.93
Starfruit preserves ,128.93,0.24,33.62,0.12,0.78,33.47,2.06,5.24,0.2,17.65,4.32
Gooseberry pickle (Amla ka achaar),278.58,1.55,7.61,27.61,3.7,0.36,86.38,31.17,1.04,4.85,2.09
Lotus stem pickle (Kamal kakdi ka achar),102.69,1.44,20.07,1.6,8.58,2.53,181.83,137.73,20.57,12.35,1.91
Date pickle (Khajoor ka achaar),182.29,1.68,34.66,4.21,5.2,30.47,138.86,41.49,1.96,3.46,15.77
Garlic pickle (Lahasun ka achar),413.62,3.72,9.75,39.88,5.13,2.32,269.12,54.66,1.82,7.33,15.98
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.58,1.73,5.59,2.24,0.29,161.31,16.62,0.69,19.87,23.14
Sweet peach pickle (Aadoo ka achaar),144.64,0.46,37.01,0.2,1.32,36.46,33.04,11.99,0.33,7.36,8.5
Pickled mustard greens ,13.12,1.51,1.05,0.22,1.7,0.02,242.36,81.44,1.22,301.6,550.52
Small onion pickle ,16.86,1.65,2.76,0.64,1.09,2.99,249.48,31.95,1.2,19.37,16.9
Green tomato pickle (Haray tamatar ka achaar),193.26,1.23,2.87,19.67,1.74,0.77,159.18,14.22,0.77,8.21,7.15
Pickled cabbage ,13.69,0.39,2.56,0.14,0.61,2.08,121.39,15.96,0.19,16.63,23.56
Coconut pickle (Nariyal ka aachar),517.26,3.02,11.53,51.71,6.35,8.98,176.54,44.78,2.62,1.71,5.56
Potato pickle (Aloo ka achaar),369.14,2.07,7.87,36.46,2.21,0.82,213.73,48.46,1.12,10.14,8.16
Mango murabba candy,293.35,0.27,77.32,0.05,0.95,74.73,13.71,16.55,0.33,19.85,5.7
Afghani chicken,151.51,15.66,1.95,9.07,0.31,0.83,87.02,35.14,1.04,3.54,20.52
Fish orly,563.7,5.87,4.27,58.18,0.33,0.24,136.37,9.55,0.31,1.35,12.83
